post_url,post_created_on
https://www.indeed.com/rc/clk?jk=cd9d91eac3806890&fccid=59960b35ca3f207e&vjs=3,2020-06-26 21:07:16.601416
https://www.indeed.com/rc/clk?jk=5accaf91ccec1ec2&fccid=9d99f0f32978ef17&vjs=3,2020-06-26 21:07:16.602415
https://www.indeed.com/rc/clk?jk=71994a5b4cf17fa2&fccid=f1374be6a45f4b8a&vjs=3,2020-06-26 21:07:16.603415
https://www.indeed.com/rc/clk?jk=cca9520af8d0afa8&fccid=0e7e5fe9219fd5cd&vjs=3,2020-06-26 21:07:16.604414
https://www.indeed.com/rc/clk?jk=c2b34df4aa700c80&fccid=c762a27145bd166e&vjs=3,2020-06-26 21:07:16.604414
https://www.indeed.com/rc/clk?jk=02acd7bd8b1c4263&fccid=ee1602ec4d84fcd0&vjs=3,2020-06-26 21:07:16.605414
https://www.indeed.com/rc/clk?jk=47ac3a87e06a6423&fccid=1fb2d72b890363ec&vjs=3,2020-06-26 21:07:16.606414
https://www.indeed.com/rc/clk?jk=fc312ed267dd1808&fccid=12f1fd5dba253774&vjs=3,2020-06-26 21:07:16.608412
https://www.indeed.com/rc/clk?jk=3415220261e2df5d&fccid=5ac3fadc1f823e63&vjs=3,2020-06-26 21:07:16.608412
https://www.indeed.com/rc/clk?jk=5eb782b46fc62b58&fccid=3c74eafe288fc8ca&vjs=3,2020-06-26 21:07:16.610411
https://www.indeed.com/rc/clk?jk=1fd2655684ca4033&fccid=9e215d88a6b33622&vjs=3,2020-06-26 21:07:17.137365
https://www.indeed.com/rc/clk?jk=3dbe79febf5e4765&fccid=d9d52566d47ab815&vjs=3,2020-06-26 21:07:17.138365
https://www.indeed.com/rc/clk?jk=303a04c0330cb53c&fccid=6cdc02f8335b1ff2&vjs=3,2020-06-26 21:07:17.139364
https://www.indeed.com/rc/clk?jk=73a047ab57f36fbc&fccid=c3b8389ba1f05d96&vjs=3,2020-06-26 21:07:17.140363
https://www.indeed.com/rc/clk?jk=76a910087a881cfc&fccid=e3977494b2ebf993&vjs=3,2020-06-26 21:07:17.141368
https://www.indeed.com/rc/clk?jk=941aa39d4763c70d&fccid=212bd0e1a939f8db&vjs=3,2020-06-26 21:07:17.141368
https://www.indeed.com/company/Farm-Journal/jobs/Data-Scientist-d0d22634a5825b51?fccid=8251f7def9a2c9d4&vjs=3,2020-06-26 21:07:17.142367
https://www.indeed.com/rc/clk?jk=dd1f75fb29e97f0e&fccid=6685118f0666d9ec&vjs=3,2020-06-26 21:07:17.143366
